occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,genus,lng,lat,formation,stratgroup,member,lithdescript,lithology1,lithification1,minor_lithology1,lithology2,lithification2,minor_lithology2,environment
220191,occ,13289,,22713,cf. Dromaeosauridae indet.,family,38561,,Dromaeosauridae,family,38561,Late Aptian,,122.46,112.03,7600,,-98.476303,31.9722,Twin Mountains,Trinity,,"ETE rock type adj: ""grn,motld red"", ETE lithology comments: ""clay,silt+sand""\r\n""five meters of green-mottled red clay, silt, and sand. Much of the sediment is massive owing either to original deposition or to bioturbation. Structures that are preserved, such as climbing ripples and settle-out laminae, are characteristic of low-energy deposition. Calcium carbonate nodules are common in the clays and silts...Sandstone dikes are present...V-shaped cracks outlined by green mottling and nodules form polygons that are one to two meters in diameter in plan view...The shape and sediment filling of these features suggest deep mud cracks on the floodplain.""",claystone,,,siltstone,,,"""floodplain"""
220200,occ,,,22717,Allosauridae indet.,family,38589,,Allosauridae,family,38589,Kimmeridgian,Tithonian,157.3,145,9727,,-107.13279,35.197208,Morrison,,Brushy Basin,"""a 1.1-m-thick sandstone lens that overlies and fills scours in less-well indurated, underlying sandstone. The bone-bearing sandstone is a well indurated, yellowish-gray, fine- to coarse-grained, subangular, poorly sorted subarkose. This unit is trough-bedded with some clay-pebble conglomerate clasts at the base of trough sets. Some thin (< 5 cm thick), discontinuous, sub-meter-scale mudstone lenses are also present.""",sandstone,lithified,conglomeratic,mudstone,,,coarse channel fill
225585,occ,,,21852,Stegosaurus sp.,genus,38814,,Stegosaurus,genus,38814,Early Tithonian,,150.8,145,15567,Stegosaurus,-109.300552,40.441387,Morrison,,Brushy Basin,"sandstone with mud and carbonate clasts, white to gray, medium sorted",sandstone,lithified,,,,,coarse channel fill
229256,occ,33979,,18324,Balearica exigua,species,83469,species not entered,Balearica,genus,83469,Clarendonian,,13.6,10.3,63362,Balearica,-98,42.299999,Ash Hollow,,Cap Rock,,,,,,,,terrestrial indet.
229333,occ,37907,,22706,Theropoda indet.,unranked clade,91970,,Theropoda,unranked clade,38513,Carnian,Norian,237,208.5,75613,,-101.247002,32.1721,Colorado City,Dockum,,"ETE rock type adj: 0, ETE lithology comments: 0",mudstone,,,,,,crevasse splay
229343,occ,,,22712,Phalacrocorax sp.,genus,39689,,Phalacrocorax,genus,39689,Piacenzian,,3.6,2.588,5666,Phalacrocorax,-82.514702,27.336,Tamiami,,Upper Pinecrest Beds,"ETE rock type adj: 0, ETE lithology comments: 0\r\nmixed sandstones and limestones","""mixed carbonate-siliciclastic""",,,,,,lagoonal
232546,occ,,,14585,n. gen. Potamornis n. sp. skutchi,species,134353,,Potamornis skutchi,species,134353,Late Maastrichtian,,70.6,66,6735,Potamornis,-104.637001,43.116329,Lance,,,"""sandstone + lignites""",sandstone,,carbonaceous,,,,terrestrial indet.
248590,occ,,,24257,Troodontidae indet.,family,54468,,Troodontidae,family,54468,Late Campanian,,83.5,70.6,694,,-101.116669,26.116667,Cerro del Pueblo,Difunta,,,not reported,,,,,,fluvial-deltaic indet.
248591,occ,,,24257,Theropoda indet.,unranked clade,38513,,Theropoda,unranked clade,38513,Late Campanian,,83.5,70.6,17032,,-101.116669,26.116667,Cerro del Pueblo,Difunta,,,not reported,,,,,,fluvial-deltaic indet.
248602,occ,,,24259,Theropoda indet.,unranked clade,38513,,Theropoda,unranked clade,38513,Late Campanian,,83.5,70.6,694,,-101.416664,25.466667,Cerro del Pueblo,Difunta,,no details given,not reported,,,,,,terrestrial indet.
